 Name                                Version          License                                                  URL                                                                                                 
 jupyter_core                        5.9.1            BSD-3-Clause                                             https://jupyter.org                                                                                 
 kafka-python                        2.0.2            Apache Software License                                  https://github.com/dpkp/kafka-python                                                                
 kiwisolver                          1.5.0            BSD License                                              https://github.com/nucleic/kiwi                                                                     
 librt                               0.13.0           MIT                                                      https://github.com/mypyc/librt                                                                      
 lightgbm                            4.3.0            MIT License                                              https://github.com/microsoft/LightGBM                                                               
 llvmlite                            0.48.0           UNKNOWN                                                  http://llvmlite.readthedocs.io                                                                      
 locket                              1.0.0            BSD License                                              http://github.com/mwilliamson/locket.py                                                             
 loguru                              0.7.2            MIT License                                              https://github.com/Delgan/loguru                                                                    
 markdown-it-py                      4.2.0            MIT License                                              https://github.com/executablebooks/markdown-it-py                                                   
 matplotlib                          3.11.0           Python Software Foundation License                       https://matplotlib.org                                                                              
 matplotlib-inline                   0.2.2            BSD-3-Clause                                             https://github.com/ipython/matplotlib-inline                                                        
 mdurl                               0.1.2            MIT License                                              https://github.com/executablebooks/mdurl                                                            
 mkl                                 2021.4.0         Other/Proprietary License                                https://software.intel.com/en-us/oneapi/onemkl                                                      
 mlflow                              2.13.0           Apache Software License                                  https://mlflow.org                                                                                  
 mmh3                                5.2.1            MIT License                                              https://pypi.org/project/mmh3/                                                                      
 mpmath                              1.3.0            BSD License                                              http://mpmath.org/                                                                                  
 multidict                           6.7.1            Apache License 2.0                                       https://github.com/aio-libs/multidict                                                               
 mypy                                2.3.0            MIT                                                      https://www.mypy-lang.org/                                                                          
 mypy-protobuf                       5.1.0            Apache License 2.0                                       https://github.com/nipunn1313/mypy-protobuf                                                         
 mypy_extensions                     1.1.0            MIT                                                      https://github.com/python/mypy_extensions                                                           
 nbformat                            5.10.4           BSD License                                              https://jupyter.org                                                                                 
 nest-asyncio2                       1.7.2            BSD License                                              https://github.com/Chaoses-Ib/nest-asyncio2                                                         
 networkx                            3.6.1            BSD-3-Clause                                             https://networkx.org/                                                                               
 numba                               0.66.0           BSD License                                              https://numba.pydata.org                                                                            
 numpy                               1.26.4           BSD License                                              https://numpy.org                                                                                   
 opacus                              1.4.0            Apache Software License                                  https://opacus.ai                                                                                   
 opentelemetry-api                   1.44.0           Apache-2.0                                               https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-api                  
 opentelemetry-sdk                   1.44.0           Apache-2.0                                               https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-sdk                  
 opentelemetry-semantic-conventions  0.65b0           Apache-2.0                                               https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-semantic-conventions 
 opt_einsum                          3.4.0            MIT                                                      UNKNOWN                                                                                             
 optuna                              3.6.1            MIT License                                              https://optuna.org/                                                                                 
 orjson                              3.11.9           MPL-2.0 AND (Apache-2.0 OR MIT)                          https://github.com/ijl/orjson                                                                       
 packaging                           24.2             Apache Software License; BSD License                     https://github.com/pypa/packaging                                                                   
 packaging                           26.2             Apache-2.0 OR BSD-2-Clause                               https://github.com/pypa/packaging                                                                   
 pandas                              2.2.2            BSD License                                              https://pandas.pydata.org                                                                           
 parso                               0.8.7            MIT License                                              https://github.com/davidhalter/parso                                                                
 partd                               1.4.2            BSD                                                      http://github.com/dask/partd/                                                                       
 pathspec                            1.1.1            Mozilla Public License 2.0 (MPL 2.0)                     https://python-path-specification.readthedocs.io/en/latest/index.html                               
 pillow                              10.4.0           Historical Permission Notice and Disclaimer (HPND)       https://python-pillow.org                                                                           
 platformdirs                        4.10.0           MIT                                                      https://github.com/tox-dev/platformdirs                                                             
 plotly                              5.22.0           MIT License                                              https://plotly.com/python/                                                                          
 pluggy                              1.6.0            MIT License                                              UNKNOWN                                                                                             
 prometheus_client                   0.20.0           Apache Software License                                  https://github.com/prometheus/client_python                                                         
 prompt_toolkit                      3.0.52           BSD License                                              https://github.com/prompt-toolkit/python-prompt-toolkit                                             
 propcache                           0.5.2            Apache Software License                                  https://github.com/aio-libs/propcache                                                               
 protobuf                            4.25.9           3-Clause BSD License                                     https://developers.google.com/protocol-buffers/                                                     
 psutil                              7.2.2            BSD-3-Clause                                             https://github.com/giampaolo/psutil                                                                 
 psycopg2-binary                     2.9.9            GNU Library or Lesser General Public License (LGPL)      https://psycopg.org/                                                                                
 pure_eval                           0.2.3            MIT License                                              http://github.com/alexmojaki/pure_eval                                                              
 pyarrow                             15.0.2           Apache Software License                                  https://arrow.apache.org/                                                                           
 pycparser                           3.0              BSD-3-Clause                                             https://github.com/eliben/pycparser                                                                 
 pydantic                            2.7.1            MIT                                                      https://github.com/pydantic/pydantic                                                                
 pydantic-settings                   2.2.1            MIT                                                      https://github.com/pydantic/pydantic-settings                                                       
 pydantic_core                       2.18.2           MIT License                                              https://github.com/pydantic/pydantic-core                                                           
 pydeck                              0.9.3            Apache License 2.0                                       https://github.com/visgl/deck.gl/tree/master/bindings/pydeck                                        
 pyparsing                           3.3.2            MIT                                                      https://github.com/pyparsing/pyparsing/                                                             
 pytest                              8.2.0            MIT License                                              https://docs.pytest.org/en/latest/                                                                  
 pytest-asyncio                      0.23.7           Apache Software License                                  https://github.com/pytest-dev/pytest-asyncio                                                        
 python-dateutil                     2.9.0.post0      Apache Software License; BSD License                     https://github.com/dateutil/dateutil                                                                
 python-dotenv                       1.0.1            BSD License                                              https://github.com/theskumar/python-dotenv                                                          
 python-multipart                    0.0.9            Apache-2.0                                               https://github.com/andrew-d/python-multipart                                                        
 pytokens                            0.4.1            MIT License                                              https://github.com/tusharsadhwani/pytokens                                                          
 pytz                                2024.2           MIT License                                              http://pythonhosted.org/pytz                                                                        
 pywin32                             312              Python Software Foundation License                       https://github.com/mhammond/pywin32                                                                 
 pyzmq                               27.1.0           BSD License                                              https://pyzmq.readthedocs.org                                                                       
 querystring-parser                  1.2.4            MIT License                                              https://github.com/bernii/querystring-parser                                                        
 raiutils                            0.4.2            MIT License                                              https://github.com/microsoft/responsible-ai-widgets                                                 
 redis                               5.0.4            MIT License                                              https://github.com/redis/redis-py                                                                   
 referencing                         0.37.0           MIT                                                      https://github.com/python-jsonschema/referencing                                                    
 requests                            2.34.2           Apache Software License                                  https://github.com/psf/requests                                                                     
 rich                                13.9.4           MIT License                                              https://github.com/Textualize/rich                                                                  
 rich-toolkit                        0.20.3           MIT                                                      UNKNOWN                                                                                             
 rpds-py                             2026.6.3         MIT                                                      https://github.com/crate-py/rpds                                                                    
 scikit-learn                        1.4.2            BSD License                                              https://scikit-learn.org                                                                            
 scipy                               1.17.1           BSD License                                              https://scipy.org/                                                                                  
 seaborn                             0.13.2           BSD License                                              https://github.com/mwaskom/seaborn                                                                  
 shap                                0.45.0           MIT License                                              http://github.com/shap/shap                                                                         
 shellingham                         1.5.4            ISC License (ISCL)                                       https://github.com/sarugaku/shellingham                                                             
 six                                 1.17.0           MIT License                                              https://github.com/benjaminp/six                                                                    
 slicer                              0.0.7            MIT License                                              https://github.com/interpretml/slicer                                                               
 smmap                               5.0.3            BSD License                                              https://github.com/gitpython-developers/smmap                                                       
 sniffio                             1.3.1            Apache Software License; MIT License                     https://github.com/python-trio/sniffio                                                              
 sqlparse                            0.5.5            BSD License                                              https://github.com/andialbrecht/sqlparse                                                            
 stack_data                          0.6.3            MIT License                                              http://github.com/alexmojaki/stack_data                                                             
 starlette                           0.37.2           BSD-3-Clause                                             https://github.com/encode/starlette                                                                 
 streamlit                           1.35.0           Apache Software License                                  https://streamlit.io                                                                                
 sympy                               1.14.0           BSD License                                              https://sympy.org                                                                                   
 tabulate                            0.10.0           MIT                                                      https://github.com/astanin/python-tabulate                                                          
 tbb                                 2021.13.1        Other/Proprietary License                                https://www.intel.com/content/www/us/en/developer/tools/oneapi/onetbb.html                          
 tenacity                            8.3.0            Apache Software License                                  https://github.com/jd/tenacity                                                                      
 termcolor                           3.3.0            MIT                                                      https://github.com/termcolor/termcolor                                                              
 threadpoolctl                       3.6.0            BSD License                                              https://github.com/joblib/threadpoolctl                                                             
 toml                                0.10.2           MIT License                                              https://github.com/uiri/toml                                                                        
 toolz                               1.1.0            BSD-3-Clause                                             https://github.com/pytoolz/toolz                                                                    
 torch                               2.3.0+cpu        BSD License                                              https://pytorch.org/                                                                                
 torch_geometric                     2.5.3            MIT License                                              https://pyg.org                                                                                     
 tornado                             6.5.7            Apache Software License                                  http://www.tornadoweb.org/                                                                          
 tqdm                                4.68.4           MPL-2.0 AND MIT                                          https://tqdm.github.io                                                                              
 traitlets                           5.15.1           BSD License                                              https://github.com/ipython/traitlets                                                                
 typeguard                           4.5.2            MIT                                                      https://typeguard.readthedocs.io/en/latest/                                                         
 typer                               0.27.0           MIT                                                      https://github.com/fastapi/typer                                                                    
 types-protobuf                      7.34.1.20260518  Apache-2.0                                               https://github.com/python/typeshed                                                                  
 typing_extensions                   4.16.0           PSF-2.0                                                  https://github.com/python/typing_extensions                                                         
 tzdata                              2026.3           Apache-2.0                                               https://github.com/python/tzdata                                                                    
 tzlocal                             5.4.4            MIT                                                      https://github.com/regebro/tzlocal/blob/master/CHANGES.txt                                          
 ujson                               5.13.0           BSD-3-Clause AND TCL                                     https://github.com/ultrajson/ultrajson                                                              
 urllib3                             2.7.0            MIT                                                      https://github.com/urllib3/urllib3/blob/main/CHANGES.rst                                            
 uvicorn                             0.29.0           BSD-3-Clause                                             https://www.uvicorn.org/                                                                            
 waitress                            3.0.2            Zope Public License                                      https://github.com/Pylons/waitress                                                                  
 watchdog                            4.0.0            Apache Software License                                  https://github.com/gorakhargosh/watchdog                                                            
 watchfiles                          1.2.0            MIT License                                              https://github.com/samuelcolvin/watchfiles                                                          
 websockets                          16.1             BSD-3-Clause                                             https://github.com/python-websockets/websockets                                                     
 win32_setctime                      1.2.0            MIT License                                              https://github.com/Delgan/win32-setctime                                                            
 xgboost                             2.0.3            Apache Software License                                  https://github.com/dmlc/xgboost                                                                     
 yarl                                1.24.2           Apache-2.0                                               https://github.com/aio-libs/yarl                                                                    
 zipp                                4.1.0            MIT                                                      https://github.com/jaraco/zipp                                                                      
